,sim_type,RHOS,NUM_STATIONS,NUM_PACKETS,BITRATE,PKTSIZE,delay,qsize,ssize,busy,fingerprint
0,fix,0.1,5,2000,1000,500,3.153541072,0.045621057,0.146905621,0.101352189,9222.374776
1,fix,0.1,5,2000,1000,1000,6.484502724,0.044955854,0.145965626,0.101117461,156.8885678
2,fix,0.1,5,2000,1000,2000,12.4340207,0.038444438,0.132844819,0.094654558,1144.404326
3,fix,0.1,5,2000,1500,500,2.152926694,0.042999127,0.143869689,0.100974227,8404.431398
4,fix,0.1,5,2000,1500,1000,4.175801303,0.044722451,0.14776627,0.103175607,7663.373303
5,fix,0.1,5,2000,1500,2000,8.606886833,0.046687099,0.149987584,0.1034126,5330.686403
6,fix,0.1,5,2000,2000,500,1.547872763,0.04609257,0.147157093,0.101083206,1552.825041
7,fix,0.1,5,2000,2000,1000,3.182574696,0.04194696,0.142583606,0.100841168,6677.924053
8,fix,0.1,5,2000,2000,2000,6.911549701,0.05110722,0.154063382,0.102995668,8456.756331
9,fix,0.1,5,5000,1000,500,3.235999643,0.049645326,0.15243666,0.102801202,3914.997362
10,fix,0.1,5,5000,1000,1000,6.343920833,0.045149551,0.143323477,0.098329404,7919.177366
11,fix,0.1,5,5000,1000,2000,12.79332369,0.046876928,0.148406341,0.101577573,1621.86225
12,fix,0.1,5,5000,1500,500,2.189585236,0.04640339,0.148038841,0.101670977,1313.122003
13,fix,0.1,5,5000,1500,1000,4.210424144,0.045579255,0.143571929,0.098066275,2299.458219
14,fix,0.1,5,5000,1500,2000,8.429758025,0.042365017,0.140739814,0.098551231,7109.223285
15,fix,0.1,5,5000,2000,500,1.640171552,0.047651627,0.148215151,0.100669544,1734.246581
16,fix,0.1,5,5000,2000,1000,3.223502281,0.046573628,0.147321424,0.100749123,1367.156178
17,fix,0.1,5,5000,2000,2000,6.50872556,0.051796525,0.154986437,0.103301442,282.4739215
18,fix,0.1,5,10000,1000,500,3.128360412,0.043118717,0.142805657,0.099700706,6860.395694
19,fix,0.1,5,10000,1000,1000,6.408662898,0.046743271,0.147514828,0.100774183,1719.904985
20,fix,0.1,5,10000,1000,2000,12.79008202,0.047217529,0.148610168,0.101535565,6191.716322
21,fix,0.1,5,10000,1500,500,2.107015531,0.045990179,0.144850042,0.098893582,818.9521449
22,fix,0.1,5,10000,1500,1000,4.341222206,0.049119619,0.151317784,0.102212064,8859.788647
23,fix,0.1,5,10000,1500,2000,8.444297875,0.043103545,0.142594701,0.099521667,1141.698868
24,fix,0.1,5,10000,2000,500,1.609844111,0.045897212,0.145960029,0.100063318,4156.407863
25,fix,0.1,5,10000,2000,1000,3.118180692,0.042230541,0.142020178,0.099881295,7684.109127
26,fix,0.1,5,10000,2000,2000,6.397977888,0.044299059,0.144444344,0.100204064,8928.266941
27,fix,0.1,5,20000,1000,500,3.199888811,0.046450632,0.147158287,0.100718831,4676.268867
28,fix,0.1,5,20000,1000,1000,6.302466979,0.044456087,0.143651466,0.099200852,2695.085723
29,fix,0.1,5,20000,1000,2000,12.97594689,0.049304237,0.151665804,0.102382646,7834.434746
30,fix,0.1,5,20000,1500,500,2.199721665,0.049934316,0.1517309,0.101813318,8601.008413
31,fix,0.1,5,20000,1500,1000,4.330864172,0.045891253,0.146420511,0.100589811,2211.615458
32,fix,0.1,5,20000,1500,2000,8.731023539,0.047290581,0.147447878,0.100176521,8303.268567
33,fix,0.1,5,20000,2000,500,1.613919404,0.046548759,0.146984088,0.100437776,3147.897327
34,fix,0.1,5,20000,2000,1000,3.188982675,0.046300914,0.146870776,0.100585035,1775.367643
35,fix,0.1,5,20000,2000,2000,6.433461032,0.046252295,0.146294008,0.10006439,7488.583646
36,fix,0.1,8,2000,1000,500,5.528328235,0.070108866,0.169491447,0.099408041,3487.532015
37,fix,0.1,8,2000,1000,1000,11.50635144,0.074834264,0.172389197,0.097741784,8196.997389
38,fix,0.1,8,2000,1000,2000,21.63551453,0.062350059,0.159585715,0.097331278,8397.714592
39,fix,0.1,8,2000,1500,500,3.540760539,0.057619334,0.154005997,0.096537374,3011.917047
40,fix,0.1,8,2000,1500,1000,7.465419758,0.067725285,0.168406054,0.100902997,64.5313267
